channel,lane,algorithm_id,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,mean_effective_rate_bps,min_effective_rate_bps,mean_psr,ber,decode_seconds
red4,1,adaptive_lite,512,32,0.5,5,8,10,0,3458.5906040268455,3458.5906040268455,0.9666666666666667,0.00038219846182704936,0.09886526191666667
red4,1,standard,512,16,0.5,5,10,8,0,3431.3993174061434,3431.3993174061434,0.9166666666666666,2.963165572574763e-5,0.07930942191666668
red4,1,adaptive_lite,512,16,0.5,5,10,8,0,3431.3993174061434,3431.3993174061434,0.9166666666666666,3.646973012399708e-5,0.11698603354166665
red4,1,standard,1024,16,0.5,5,10,10,0,2265.3356282271943,2202.4096385542166,0.6000000000000001,0.03922547410649161,0.08368925471666666
red4,1,adaptive_lite,1024,16,0.5,5,10,10,0,2265.3356282271943,2202.4096385542166,0.6000000000000001,0.03974060904449307,0.1509544214166667
red4,1,lite,1024,16,0.5,5,10,10,0,566.3339070567986,566.3339070567986,0.15,0.12168809263311452,0.1617948008583333
red4,1,lite,512,16,0.5,5,10,8,0,311.9453924914676,249.55631399317406,0.08333333333333334,0.11505516046681255,0.16078115675
red4,1,lite,512,32,0.5,5,8,10,0,149.07718120805367,119.26174496644295,0.04166666666666667,0.16618364284374415,0.18777721343333337
red4,1,lite,512,16,0.5,5,10,10,0,124.77815699658703,124.77815699658703,0.03333333333333333,0.17818426331145149,0.1709408694833333
red4,2,standard,512,0,0.5,5,10,10,0,3173.6111111111113,3046.6666666666665,0.8333333333333334,0.00837208242159008,0.0895728121
red4,2,adaptive_lite,512,0,0.5,5,10,10,0,3173.6111111111113,3046.6666666666665,0.8333333333333334,0.009288384390955508,0.14292636585000001
red4,2,standard,512,64,0.5,5,10,10,0,3089.5862068965516,3004.551724137931,0.9083333333333333,0.0027220194647201946,0.08326558373333334
red4,2,adaptive_lite,512,64,0.5,5,10,10,0,3061.241379310345,2947.862068965517,0.9,0.004024736415247364,0.11469033589166669
red4,2,standard,512,0,0.5,5,10,8,0,2761.041666666667,2729.3055555555557,0.725,0.00020286287381473378,0.08142164839999999
red4,2,adaptive_lite,512,0,0.5,5,10,8,0,2761.041666666667,2729.3055555555557,0.725,0.00020286287381473378,0.14133455350000002
red4,2,standard,1024,16,0.5,5,10,10,0,2170.946643717728,2139.4836488812393,0.575,0.044415572574762946,0.08170110516666668
red4,2,adaptive_lite,1024,16,0.5,5,10,10,0,2170.946643717728,2139.4836488812393,0.575,0.045160922684172135,0.14840251839166665
red4,2,lite,1024,16,0.5,5,10,10,0,629.2598967297763,503.407917383821,0.16666666666666669,0.11894602479941649,0.1651103958333333
red4,2,lite,512,0,0.5,5,10,8,0,126.94444444444444,126.94444444444444,0.03333333333333333,0.15503966083150986,0.1509003957416667
red4,2,lite,512,64,0.5,5,10,10,0,56.689655172413794,56.689655172413794,0.016666666666666666,0.1917933901054339,0.15264293720833333
red4,2,lite,512,0,0.5,5,10,10,0,31.73611111111111,0.0,0.008333333333333333,0.19791894602479942,0.19042461496666668
red4,3,standard,512,16,0.5,5,10,10,0,3587.372013651877,3493.7883959044366,0.9583333333333333,0.0017824580598103574,0.0603631323
red4,3,adaptive_lite,512,16,0.5,5,10,10,0,3587.372013651877,3493.7883959044366,0.9583333333333333,0.0017824580598103574,0.07577160018333334
red4,3,standard,512,0,0.5,5,10,10,0,3554.4444444444443,3427.5,0.9333333333333333,0.0027648614150255287,0.06424639380833333
red4,3,adaptive_lite,512,0,0.5,5,10,10,0,3490.972222222222,3364.027777777778,0.9166666666666666,0.002778537563822028,0.09221098658333333
red4,3,standard,512,0,0.5,5,8,10,0,3393.5763888888887,3331.875,0.9166666666666667,0.0028301444381917088,0.06060061841666667
red4,3,adaptive_lite,512,0,0.5,5,8,10,0,3393.5763888888887,3331.875,0.9166666666666667,0.0028301444381917088,0.078141860875
red4,3,adaptive_lite,1024,16,0.5,5,10,10,0,1982.1686746987953,1950.7056798623064,0.525,0.06295359226841721,0.11308942393333334
red4,3,standard,1024,16,0.5,5,10,10,0,1950.7056798623062,1887.7796901893287,0.5166666666666666,0.06281227206418673,0.06599242019166668
red4,3,lite,1024,16,0.5,5,10,10,0,1038.2788296041308,1006.815834767642,0.275,0.1068494711889132,0.12708455643333333
red4,3,lite,512,0,0.5,5,8,10,0,92.55208333333333,61.701388888888886,0.025,0.18158413055711875,0.12463152325833333
red4,3,lite,512,16,0.5,5,10,10,0,0.0,0.0,0.0,0.17476294675419402,0.12477517731666665
red4,3,lite,512,0,0.5,5,10,10,0,0.0,0.0,0.0,0.18968818380743982,0.12700129838333335
