channel,lane,phase,start_index,algorithm_id,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,seed,frames,frame_blocks,payload_bits_per_frame,successful_frames,psr,payload_bits,bit_errors,ber,decode_failures,decode_seconds,effective_rate_bps,gradient_accepted_frames,conditioned_accepted_steps,conditioned_rejected_steps,selection_reasons
red3,3,confirm,0,profiled_cz,1024,64,0.5,5,10,10,0,6,60,5,3656,2,0.03333333333333333,219360,38681,0.1763357038657914,0,0.4447176684833333,122.68456375838926,0,0,0,crc_fallback:58;lite_crc_valid_skip:2
red3,3,confirm,0,profiled_cz,1024,64,0.5,5,10,10,0,7,60,5,3656,0,0.0,219360,37763,0.17215080233406274,0,0.4036257082666667,0.0,0,0,0,crc_fallback:60
red4,1,confirm,0,profiled_cz,512,16,0.5,5,10,10,0,6,60,10,3656,2,0.03333333333333333,219360,39644,0.18072574762946755,0,1.0832016418500001,124.77815699658703,0,0,0,crc_fallback:58;lite_crc_valid_skip:2
red4,1,confirm,0,profiled_cz,512,16,0.5,5,10,10,0,7,60,10,3656,2,0.03333333333333333,219360,38529,0.17564277899343544,0,1.0817121053333334,124.77815699658703,0,0,0,crc_fallback:58;lite_crc_valid_skip:2
red4,1,confirm,0,profiled_cz,512,32,0.5,5,8,10,0,6,60,10,3554,2,0.03333333333333333,213240,36330,0.17037141249296567,0,1.0590057361833334,119.26174496644295,0,0,0,crc_fallback:58;lite_crc_valid_skip:2
red4,1,confirm,0,profiled_cz,512,32,0.5,5,8,10,0,7,60,10,3554,3,0.05,213240,34544,0.1619958731945226,0,1.186642061933333,178.8926174496644,0,0,0,crc_fallback:57;lite_crc_valid_skip:3
red4,1,confirm,0,profiled_cz,512,16,0.5,5,10,8,0,6,60,10,3656,4,0.06666666666666667,219360,24476,0.11157913931436908,0,1.1287193830999998,249.55631399317406,0,0,0,crc_fallback:56;lite_crc_valid_skip:4
red4,1,confirm,0,profiled_cz,512,16,0.5,5,10,8,0,7,60,10,3656,6,0.1,219360,26001,0.11853118161925602,0,0.9535423246833333,374.3344709897611,0,0,0,crc_fallback:54;lite_crc_valid_skip:6
red4,1,confirm,0,profiled_cz,1024,16,0.5,5,10,10,0,6,60,5,3656,9,0.15,219360,26591,0.1212208242159008,0,0.9118985952,566.3339070567986,0,0,0,crc_fallback:51;lite_crc_valid_skip:9
red4,1,confirm,0,profiled_cz,1024,16,0.5,5,10,10,0,7,60,5,3656,9,0.15,219360,26796,0.12215536105032823,0,0.8770984771500001,566.3339070567986,0,0,0,crc_fallback:51;lite_crc_valid_skip:9
