channel,lane,seed,frames,algorithm_id,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,frame_blocks,payload_bits_per_frame,successful_frames,psr,payload_bits,bit_errors,ber,decode_failures,decode_seconds,effective_rate_bps,refinement_selected_frames,joint_cwz_accepted_steps,joint_cwz_rejected_steps,selection_reasons
red2,2,7,60,lite,512,32,0.5,3,10,10,0,10,3008,0,0.0,180480,38263,0.21200687056737588,0,0.16901650961666667,0.0,0,0,0,
red2,2,7,60,cz_refinement,512,32,0.5,3,10,10,0,10,3008,0,0.0,180480,38263,0.21200687056737588,0,0.8755763704499998,0.0,0,0,0,crc_fallback:60
red2,2,7,60,joint_cwz,512,32,0.5,3,10,10,0,10,3008,0,0.0,180480,38263,0.21200687056737588,0,0.6805168905666664,0.0,0,480,0,crc_fallback:60
red2,2,6,60,lite,1024,64,0.5,5,10,10,0,5,3656,0,0.0,219360,39325,0.17927151714077316,0,0.19559532483333333,0.0,0,0,0,
red2,2,6,60,cz_refinement,1024,64,0.5,5,10,10,0,5,3656,0,0.0,219360,39325,0.17927151714077316,0,1.0167574052666666,0.0,0,0,0,crc_fallback:60
red2,2,6,60,joint_cwz,1024,64,0.5,5,10,10,0,5,3656,0,0.0,219360,39325,0.17927151714077316,0,0.8312852266833333,0.0,0,480,0,crc_fallback:60
red2,2,7,60,lite,1024,64,0.5,5,10,10,0,5,3656,0,0.0,219360,40531,0.1847693289569657,0,0.20998537238333334,0.0,0,0,0,
red2,2,7,60,cz_refinement,1024,64,0.5,5,10,10,0,5,3656,0,0.0,219360,40531,0.1847693289569657,0,1.085122889133333,0.0,0,0,0,crc_fallback:60
red2,2,7,60,joint_cwz,1024,64,0.5,5,10,10,0,5,3656,0,0.0,219360,40531,0.1847693289569657,0,0.8776600753166668,0.0,0,480,0,crc_fallback:60
red2,3,6,60,lite,512,32,0.5,3,8,10,0,10,2924,1,0.016666666666666666,175440,33780,0.19254445964432285,0,0.18178716595000002,49.060402684563755,0,0,0,
red2,3,6,60,cz_refinement,512,32,0.5,3,8,10,0,10,2924,1,0.016666666666666666,175440,33780,0.19254445964432285,0,0.9741853320333335,49.060402684563755,0,0,0,crc_fallback:59;lite_crc_valid_skip:1
red2,3,6,60,joint_cwz,512,32,0.5,3,8,10,0,10,2924,1,0.016666666666666666,175440,33780,0.19254445964432285,0,0.6809153131833334,49.060402684563755,0,472,0,crc_fallback:59;lite_crc_valid_skip:1
red2,3,7,60,lite,512,32,0.5,3,8,10,0,10,2924,0,0.0,175440,33751,0.19237916096671226,0,0.20079392625,0.0,0,0,0,
red2,3,7,60,cz_refinement,512,32,0.5,3,8,10,0,10,2924,1,0.016666666666666666,175440,33746,0.19235066119471045,0,0.9394884438833336,49.060402684563755,1,0,0,crc_fallback:59;crc_rescue:1
